signal,horizon_days,n_periods,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,ic_mean,icir,alpha_ann,beta,r2
EEI Level,1,12,0.016065472760165456,0.21697555646210884,-0.025329904432354677,-0.061453459702884065,0.5,0.05150375939849624,0.20580742290966605,0.8125561931489746,-0.5667739632220349,0.15887008025408222
EEI Level,5,12,0.13732289184249846,0.14359422253905071,0.6560652523916708,-0.04839777231841356,0.5833333333333334,0.1164160401002506,0.4451765250039323,0.4342005741370642,-0.6225152031143115,0.224223792627254
EEI Level,20,12,-0.11944620325337041,0.20804019982209254,-0.7163033196481406,-0.19419545714640638,0.3333333333333333,-0.019548872180451118,-0.08651651457334394,0.00010893848175258721,-0.311244265990177,0.0851653467166662
EEI Level,60,12,0.010981210380426987,0.20851148618018403,-0.06437863908736471,-0.353635957615455,0.3333333333333333,-0.04686716791979948,-0.188138960227054,-0.048286718805413374,0.5332811433266872,0.16797653869526008
EEI Delta,1,11,0.5394407498294957,0.28682039935372994,1.492080118210854,-0.055452304797876335,0.6363636363636364,0.04128503075871496,0.2021825764052942,0.5629293472892987,-0.07252463139083132,0.0015776264728019074
EEI Delta,5,11,-0.10491928938470152,0.24143275028812083,-0.5250748063600974,-0.08259137225638209,0.45454545454545453,0.0377306903622693,0.1417861932125971,-0.010623756094063457,-0.18920525867127394,0.006593232329947019
EEI Delta,20,11,-0.32223555952673866,0.2238593412380293,-1.7961360183404202,-0.33001612364448707,0.45454545454545453,-0.05823650034176349,-0.32251540468105433,-0.44030583164788195,0.2807947035339209,0.06312558849303684
EEI Delta,60,11,-0.09320935832264021,0.146568381719442,-0.8964490677681326,-0.2050671593902535,0.36363636363636365,-0.12221462747778537,-0.5591550973483616,-0.1345298998957178,0.3623375785458633,0.16622260641887876
Topic-Guidance,1,12,-0.660667367592127,0.18396879022979112,-6.012642855301026,-0.06034286892435731,0.4166666666666667,-0.02332915622389307,-0.12020823112275955,-0.7728672004999105,-0.21135021616743116,0.03072989257559766
Topic-Guidance,5,12,-0.1558799763856069,0.27528417694748974,-0.6387510796143776,-0.14218344325868854,0.5,0.07149122807017542,0.2614458631682744,0.28293910049940274,-0.873180828302677,0.12003325619650673
Topic-Guidance,20,12,0.036543032532332154,0.1808434334312276,0.04001181937344328,-0.12711847519442213,0.5833333333333334,0.10864661654135338,0.586608933735123,0.027600339443683196,0.07363637468814863,0.006308615156715658
Topic-Guidance,60,12,0.07908180238669482,0.2703671768498064,0.2673343544901322,-0.3975816563278368,0.6666666666666666,0.08859649122807016,0.3303216746513391,-0.06337592349516473,1.2063098401811598,0.511217779068057
